path,function,time,blocks,matrix
./data/kernels/16910/22/main.cu,computePCfeatures,25.38,"(1, 832)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.45,"(1, 896)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.47,"(1, 960)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.58,"(1, 1024)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.07,"(8, 8)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.48,"(16, 16)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.87,"(24, 24)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.46,"(32, 32)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.81,"(1, 64)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.23,"(1, 128)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.56,"(1, 192)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.36,"(1, 256)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.52,"(1, 320)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.451,"(1, 384)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.67,"(1, 448)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.731,"(1, 512)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.23,"(1, 576)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.06,"(1, 640)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.81,"(1, 704)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.04,"(1, 768)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.26,"(1, 832)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.92,"(1, 896)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.17,"(1, 960)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.1,"(1, 1024)","(1232, 1232)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.77,"(8, 8)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.2,"(16, 16)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.98,"(24, 24)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.14,"(32, 32)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.31,"(1, 64)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.51,"(1, 128)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.19,"(1, 192)","(1680, 1680)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.22,"(1, 256)","(1680, 1680)"
